control_number,n_lines,n_taxa,n_class,n_species,qty_total,value_total,value_missing,taxa,country_origin,country_imp_exp,port,purpose,source,year,month,target
2000721436,1,1,1,1,1,100,0,mammal,XX,XX,SF,P,W,2000,3,1
2000721441,1,1,1,1,7665,2500,0,fish,TW,TW,LA,T,C,2000,1,0
2000721445,29,4,4,28,1838,3233,0,coral,TO,TO,LA,T,W,2000,1,0
2000721446,1,1,1,1,57,1881,0,fish,NC,NC,LA,T,W,2000,1,0
2000721449,1,1,1,1,14335,6485,0,fish,ID,ID,LA,T,W,2000,1,0
2000721462,1,1,1,1,4200,821,0,fish,TW,TW,LA,T,W,2000,1,0
2000721474,3,3,2,3,990,2396,0,crustacean,ID,ID,LA,T,W,2000,1,0
2000721516,1,1,1,1,225,58,0,insect,PH,PH,LA,non-standard value,C,2000,1,0
2000721538,2,2,2,2,1522,1119,0,crustacean,ID,ID,LA,T,W,2000,1,0
2000721563,4,4,2,4,18203,15150,0,crustacean,PH,PH,LA,T,W,2000,1,0
2000721575,1,1,1,1,1300,2063,0,mammal,NZ,NZ,LA,T,W,2000,1,0
2000721594,1,1,1,1,200,360,0,insect,MY,MY,LA,non-standard value,C,2000,1,0
2000721621,1,1,1,1,418344,644896,0,shell,JP,HK,NW,T,W,2000,2,0
2000721628,2,2,2,2,223,791,0,fish,PW,PW,AG,T,W,2000,1,0
2000721635,1,1,1,1,3,150,0,reptile,CO,CH,AG,T,C,2000,2,0
2000721637,1,1,0,1,24000,29520,0,fish,CN,CN,AG,T,W,2000,2,0
2000721640,1,1,1,1,1084,253,0,shell,PH,PH,AG,T,W,2000,2,0
2000721646,1,1,1,1,1,50,0,reptile,US,HK,AG,T,C,2000,2,0
2000721680,1,1,1,1,11,4038,0,reptile,US,FR,NY,T,C,2000,2,0
2000721686,1,1,1,1,16917,3101,0,shell,PH,KR,NY,T,W,2000,1,0
2000721688,1,1,1,1,1,5,0,shell,PH,PH,LA,non-standard value,W,2000,1,0
2000721692,2,2,1,2,7550,2070,0,fish,PH,PH,LA,T,W,2000,1,0
2000721696,1,1,0,1,2,0,0,fish,US,JP,NY,non-standard value,W,2000,2,0
2000721700,2,2,1,2,2850,2796,0,fish,PH,PH,LA,T,W,2000,1,0
2000721704,2,2,2,2,11710,2637,0,crustacean,TH,TH,LA,T,W,2000,1,0
2000721714,1,1,1,1,27064,24449,0,shell,JP,CN,LA,T,W,2000,1,0
2000721718,3,3,2,3,782,493,0,crustacean,PH,PH,LA,T,W,2000,1,0
2000721731,2,2,1,2,832,1858,0,fish,LK,LK,LA,T,W,2000,2,0
2000721753,12,3,2,11,1147,2820,0,coral,ID,ID,LA,T,W,2000,2,0
2000721767,13,2,1,13,662,3550,0,coral,ID,ID,LA,T,W,2000,1,0
